ANC,official 2010 population,block-approx 2010 population,block-approx 2020 population,block-approx miscount (2010),2013 SMD count,2020 pop / 2000
1A,23733,23582,26307,-151,12,13.15
1B,23835,24034,29089,199,12,14.54
1C,16435,16441,18457,6,8,9.23
1D,10459,10459,11432,0,5,5.72
2A,17215,17180,18769,-35,8,9.38
2B,18115,18268,20536,153,9,10.27
2C,5481,5481,6614,0,3,3.31
2D,2708,2708,2836,0,2,1.42
2E,16466,16477,15676,11,8,7.84
2F,16660,16793,17473,133,8,8.74
3B,10399,10849,11663,450,5,5.83
3C,18142,19217,20074,1075,9,10.04
3D,19987,19363,21377,-624,10,10.69
3E,10278,10443,10947,165,5,5.47
3F,13839,12763,14408,-1076,7,7.20
3G,14205,14215,15186,10,7,7.59
4A,16653,16653,19511,0,8,9.76
4B,18519,18520,21857,1,9,10.93
4C,20024,20031,21719,7,10,10.86
4D,12614,12584,13219,-30,6,6.61
5A,16344,16343,18181,-1,8,9.09
5B,9890,9890,11724,0,5,5.86
5C,13849,13868,17366,19,7,8.68
5D,14529,14510,17012,-19,7,8.51
5E,19696,19682,25142,-14,10,12.57
6A,16390,16390,18297,0,8,9.15
6B,20217,20217,22401,0,10,11.20
6C,11879,11608,20891,-271,6,10.45
6D,14359,14359,27361,0,7,13.68
6E,13393,13426,19252,33,7,9.63
7B,14487,14545,15150,58,7,7.58
7C,14088,14026,14687,-62,7,7.34
7D,13864,13926,16586,62,7,8.29
7E,13570,13562,14840,-8,7,7.42
7F,15739,15689,14992,-50,7,7.50
8A,14627,13754,15146,-873,7,7.57
8B,14232,15390,15693,1158,7,7.85
8C,14629,14333,14780,-296,7,7.39
8D,14890,14945,16323,55,7,8.16
8E,15284,15243,16571,-41,7,8.29
